证券代码,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
600193,497.52,-79.9,-31.7,314.73,7.86,-0.24
600195,142.35,129.22,132.44,7.11,80.2,6.76
600196,370.27,154.6,159.13,114.08,179.86,9.26
600197,124.7,148.33,144.16,38.37,109.36,4.86
600198,-6389.57,0.65,68.27,-8052.45,92.47,-0.9
600199,263.49,98.18,102.11,9.6,94.53,2.79
600200,411.31,35.83,32.14,248.2,38.98,0.7000000000000001
600201,323.85,174.42,163.44,111.17,107.69,6.93
600202,-1970.79,-49.84,-21.55,-2166.14,-73.41,-1.01
600203,-1503.64,-47.25,-37.3,-2259.6,229.44,0.44
600206,-1911.26,-13.87,-5.84,-1209.94,29.84,-0.44
600207,-8225.61,-296.67,-292.67,-11621.07,73.92,-3.44
600208,413.38,134.47,144.24,185.04,154.75,2.77
600209,-3415.7,-16.51,-15.08,-3541.82,-1.26,-0.24
600210,398.4,89.28,83.24,289.81,42.24,2.27
600211,681.96,111.3,99.06,481.56,11.6,4.33
600212,-2378.97,-31.17,-30.47,-2823.18,-67.39,-0.53
600213,-5190.02,-43.61,-70.19,-7373.19,153.56,-0.65
600215,3622.23,6.57,6.29,3547.26,214.56,0.41000000000000003
600216,11.93,153.14,222.53,-125.8,45.09,10.86
600217,-1159.27,-208.32,-44.3,-3604.76,54.2,-0.14
600218,498.0,38.91,37.13,348.84,116.2,1.57
600219,54.68,45.91,48.7,10.6,100.29,3.2
600220,-15755.11,-23.76,-24.54,-20722.38,-29.26,-0.34
600221,920.27,99.18,72.49,497.19,150.43,2.68
600222,6.22,23.52,27.55,-82.93,76.77,0.41000000000000003
600223,139.6,201.32,139.25,20.4,133.4,2.14
600225,-4918.1,-46.18,-86.03,-2228.19,102.85,-1.03
600226,245.1,74.14,78.96,132.13,-48.4,1.9300000000000002
600227,-32561.48,-46.64,-3.52,-29981.96,318.56,-0.52
600230,427.35,262.2,130.14,-160.77,384.03,16.02
600232,386.29,14.85,9.06,385.7,24.84,0.48
600235,-2866.33,13.66,13.53,-3184.01,29.26,0.46
600236,1170.08,132.7,115.52,1173.74,52.9,2.47
600237,-3121.15,-17.94,-17.73,-3288.93,37.31,-0.45
